dataset,NB_1_layer_type,PVU_1_layer_type,NB_2_layer_types,PVU_2_layer_types,NB_3_layer_types,PVU_3_layer_types,PVU_gain_1_to_best,NB_gain_1_to_best
14,24,69.07,28,80.59,28,80.59,11.52000000000001,4
15,32,68.95,40,86.19,40,86.19,17.239999999999995,8
16,33,80.64,35,85.53,35,85.53,4.890000000000001,2
17,160,79.75,170,84.73,170,84.73,4.980000000000004,10
18,114,84.4,119,88.1,119,88.1,3.6999999999999886,5
20,18,59.23,24,78.97,24,78.97,19.740000000000002,6
27,80,82.76,84,86.89,84,86.89,4.1299999999999955,4
28,55,81.44,58,85.88,58,85.88,4.439999999999998,3
29,50,86.18,52,89.63,52,89.63,3.4499999999999886,2
34,216,85.23,240,94.7,240,94.7,9.469999999999999,24
39,7,47.03,10,67.18,10,67.18,20.150000000000006,3
40,114,86.73,123,93.58,123,93.58,6.849999999999994,9
41,104,92.77,108,96.34,108,96.34,3.5700000000000074,4
43,240,85.65,258,92.07,258,92.07,6.4199999999999875,18
44,576,92.31,624,100.0,624,100.0,7.689999999999998,48
45,1296,93.1,1392,100.0,1392,100.0,6.900000000000006,96
46,408,91.54,444,99.62,444,99.62,8.079999999999998,36
47,200,87.04,209,90.96,217,94.44,7.3999999999999915,17
51,203,84.63,209,87.14,209,87.14,2.510000000000005,6
52,81,84.38,84,87.5,87,90.63,6.25,6
